,blue_win,TOP_T1,JG_T1,MID_T1,ADC_T1,SUP_T1,TOP_T2,JG_T2,MID_T2,ADC_T2,SUP_T2
150,0,Wukong,Taliyah,Zoe,Ashe,Thresh,Lulu,Lee Sin,Kassadin,Jhin,Pantheon
151,0,Shen,Evelynn,Lucian,Twitch,Rakan,Ornn,Graves,Orianna,Ashe,Bard
152,0,Irelia,Evelynn,Kayle,Karthus,Thresh,Jax,Graves,Syndra,Ashe,Rakan
153,1,Ezreal,Lillia,Cassiopeia,Lucian,Leona,Sylas,Aphelios,Yone,Ekko,Braum
154,1,Lucian,Sejuani,Sylas,Ziggs,Pantheon,Akali,Lee Sin,Syndra,Ezreal,Sett
155,0,Wukong,Nidalee,Irelia,Kai'Sa,Nautilus,Poppy,Kha'Zix,Orianna,Twitch,Rakan
156,1,Shen,Zac,Irelia,Caitlyn,Bard,Sylas,Hecarim,Cassiopeia,Kai'Sa,Pantheon
157,0,Shen,Graves,Orianna,Jhin,Yuumi,Lucian,Lee Sin,Cassiopeia,Ezreal,Bard
158,0,Hecarim,Nidalee,Qiyana,Ezreal,Lux,Jax,Rek'Sai,LeBlanc,Ashe,Karma
159,0,Gangplank,Nidalee,Akali,Sivir,Pantheon,Ornn,Evelynn,Lucian,Ashe,Karma
160,1,Akali,Graves,Zed,Cassiopeia,Thresh,Teemo,Lee Sin,Vladimir,Miss Fortune,Galio
161,1,Camille,Nidalee,Sylas,Ashe,Pantheon,Riven,Graves,Orianna,Senna,Thresh
162,0,Malphite,Lee Sin,Akali,Twitch,Rakan,Jayce,Graves,Ahri,Caitlyn,Bard
163,1,Camille,Nidalee,Rumble,Samira,Bard,Volibear,Graves,Syndra,Caitlyn,Janna
164,1,Karma,Nidalee,Talon,Kai'Sa,Zyra,Lulu,Master Yi,Katarina,Samira,Taric
165,0,Wukong,Lillia,Corki,Ezreal,Pantheon,Malphite,Hecarim,Lucian,Karthus,Tahm Kench
166,0,Jayce,Evelynn,Yone,Ezreal,Bard,Fiora,Lillia,Camille,Kai'Sa,Nautilus
167,0,Fiora,Graves,Viktor,Caitlyn,Nautilus,Camille,Elise,Sylas,Jhin,Karma
168,0,Renekton,Hecarim,Katarina,Caitlyn,Rakan,Jax,Nidalee,Yone,Senna,Sett
169,0,Urgot,Lee Sin,Zoe,Senna,Pantheon,Gangplank,Hecarim,LeBlanc,Caitlyn,Rakan
170,1,Camille,Kindred,LeBlanc,Ashe,Leona,Ornn,Rengar,Orianna,Senna,Pantheon
171,0,Camille,Hecarim,Orianna,Twitch,Rakan,Renekton,Evelynn,Vladimir,Ashe,Bard
172,0,Irelia,Evelynn,Akali,Aphelios,Leona,Volibear,Sylas,Lucian,Senna,Tahm Kench
173,0,Volibear,Ekko,LeBlanc,Caitlyn,Thresh,Gangplank,Kayn,Akali,Graves,Senna
174,0,Gangplank,Kindred,Zed,Ezreal,Bard,Qiyana,Karthus,Gnar,Kai'Sa,Nautilus
175,0,Fiora,Graves,Akali,Karthus,Senna,Ornn,Kha'Zix,Galio,Twitch,Yuumi
176,0,Rengar,Lee Sin,Twisted Fate,Tristana,Taric,Renekton,Graves,Akali,Senna,Sett
177,0,Urgot,Lee Sin,Twisted Fate,Ezreal,Karma,Aatrox,Graves,Sylas,Jhin,Nautilus
178,0,Camille,Nidalee,Azir,Samira,Rakan,Gangplank,Kha'Zix,Galio,Vayne,Bard
179,1,Shen,Karthus,Kassadin,Ezreal,Sett,Jax,Ekko,Renekton,Vayne,Zac
180,1,Quinn,Evelynn,Vladimir,Irelia,Maokai,Akali,Hecarim,Lucian,Heimerdinger,Shen
181,0,Urgot,Lee Sin,Zoe,Senna,Pantheon,Gangplank,Hecarim,LeBlanc,Caitlyn,Rakan
182,1,Rumble,Hecarim,Sylas,Twitch,Rakan,Gangplank,Kha'Zix,Ekko,Yasuo,Sett
183,1,Tahm Kench,Kha'Zix,Veigar,Caitlyn,Morgana,Shen,Evelynn,Yasuo,Jhin,Karma
184,0,Gragas,Graves,Akali,Draven,Janna,Garen,Kindred,Nocturne,Karthus,Lulu
185,0,Rengar,Lillia,Nunu & Willump,Caitlyn,Bard,Camille,Hecarim,Galio,Tristana,Rakan
186,1,Jax,Graves,Sylas,Senna,Alistar,Gangplank,Hecarim,Orianna,Ezreal,Pantheon
187,0,Lucian,Xin Zhao,Zoe,Ezreal,Leona,Jayce,Graves,Nunu & Willump,Jhin,Tahm Kench
188,1,Renekton,Nidalee,Irelia,Ashe,Nautilus,Gangplank,Xin Zhao,Orianna,Twitch,Rakan
189,0,Maokai,Hecarim,Zed,Kai'Sa,Nautilus,Wukong,Karthus,Vladimir,Ezreal,Bard
190,0,Shen,Evelynn,Syndra,Kai'Sa,Blitzcrank,Gangplank,Karthus,Sylas,Jhin,Thresh
191,0,Camille,Nidalee,Corki,Senna,Rakan,Jax,Kindred,Galio,Jhin,Nautilus
192,0,Camille,Kindred,LeBlanc,Aphelios,Thresh,Riven,Graves,Galio,Karthus,Janna
193,0,Irelia,Lillia,Jayce,Ashe,Shaco,Camille,Nunu & Willump,Talon,Senna,Thresh
194,1,Shen,Kindred,Ryze,Jhin,Pyke,Renekton,Lillia,Yone,Aphelios,Thresh
195,0,Lucian,Lee Sin,Rumble,Ashe,Thresh,Sett,Graves,Zoe,Jhin,Leona
196,0,Jayce,Kindred,Akali,Jhin,Alistar,Lulu,Olaf,Galio,Kai'Sa,Pyke
197,0,Renekton,Ekko,Poppy,Ezreal,Bard,Jayce,Graves,Sylas,Aphelios,Shen
